xName,size,shape,fill,stroke,strokeWidth,Kd(nM),KMap-name,KMap-type,KMap-source,KMap-setId
LCK,15,circle,Cyan,LightGray,1.5,630.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
LOK,15,circle,Cyan,LightGray,1.5,470.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
LYN,15,circle,Cyan,LightGray,1.5,990.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
MNK2,15,circle,Cyan,LightGray,1.5,1200.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
SRC,15,circle,Cyan,LightGray,1.5,3800.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
PHKg1,15,circle,Cyan,LightGray,1.5,3700.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
PIM3,15,circle,Cyan,LightGray,1.5,5800.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
RIPK2,15,circle,Cyan,LightGray,1.5,530.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
SLK,15,circle,Cyan,LightGray,1.5,920.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
QIK,15,circle,Cyan,LightGray,1.5,2100.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
HCK,15,circle,Cyan,LightGray,1.5,4400.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
IRAK3,15,circle,Cyan,LightGray,1.5,1500.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
EphA6,15,circle,Cyan,LightGray,1.5,590.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
FRK,15,circle,Cyan,LightGray,1.5,2000.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
Erk4,15,circle,Cyan,LightGray,1.5,3100.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
Erk3,15,circle,Cyan,LightGray,1.5,1600.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
ErbB4,15,circle,Cyan,LightGray,1.5,410.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
ErbB2,15,circle,Cyan,LightGray,1.5,3500.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
EphA8,15,circle,Cyan,LightGray,1.5,1800.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
EphA1,15,circle,Cyan,LightGray,1.5,4000.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
DRAK2,15,circle,Cyan,LightGray,1.5,3800.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
DRAK1,15,circle,Cyan,LightGray,1.5,2000.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
DMPK1,15,circle,Cyan,LightGray,1.5,6900.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
DAPK3,15,circle,Cyan,LightGray,1.5,5700.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
CK1e,15,circle,Cyan,LightGray,1.5,430.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
CRIK,15,circle,Cyan,LightGray,1.5,1300.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
BLK,15,circle,Cyan,LightGray,1.5,1200.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
TXK,15,circle,Cyan,LightGray,1.5,6000.0,Gefitinib,"Karaman et al., 2008",Profiling,BK7
